O61924	MA2133.1
Q9XUW7	MA2134.1
G5ECU7	MA2135.1
Q65ZG6	MA2136.1
O46016	MA2137.1
O02050	MA2138.1
P91278	MA2139.1
P34683	MA2140.1
G5EDU6	MA2141.1
A8X9D5	MA2142.1
Q19345	MA2143.1
Q9NA51	MA2144.1
G5EEL3	MA2145.1
Q965W2	MA2146.1
H2KYW5	MA2147.1
Q9N5X6	MA2148.1
P41933	MA2149.1
G5EDE1	MA2150.1
Q21263	MA2151.1
G5EEQ5	MA2152.1
P41830	MA2153.1
O45103	MA2154.1
Q9XW26	MA2155.1
G5EE07	MA2156.1
Q23272	MA2157.1
P20271	MA2158.1
Q93352	MA2159.1
Q22812	MA2160.1
Q18273	MA2161.1
Q45EK2	MA2162.1
P46581	MA2163.1
Q09228	MA2164.1
P28515	MA2165.1
O01519	MA2166.1
A0A078BQN7	MA2167.1
G5EGD2	MA2168.1
G5EFT5	MA2169.1
Q10574	MA2170.1
O02273	MA2171.1
G5EG44	MA2172.1
Q9U325	MA2173.1
Q18533	MA2174.1
G5EEH5	MA2175.1
Q18711	MA2176.1
G5EEG1	MA2177.1
Q9NAD6	MA2178.1
P41935	MA2179.1
Q09534	MA2180.1
Q9N5S3	MA2181.1
Q5H9N3	MA2182.1
G5ED47	MA2183.1
Q20201	MA2184.1
Q9U2C9	MA2185.1
Q9XVD5	MA2186.1
G5EC77	MA2187.1
P24350	MA2188.1
P05552	MA2189.1
P39413	MA2190.1
Q9Y0A7	MA2191.1
Q2PE13	MA2192.1
Q9XZS8	MA2193.1
Q8SX87	MA2194.1
P48987	MA2195.1
Q9VB47	MA2196.1
Q9VS05	MA2197.1
M9PBR0	MA2198.1
Q9VQU9	MA2199.1
Q24535	MA2200.1
Q0IGQ2	MA2201.1
P55965	MA2202.1
Q29R14	MA2203.1
Q9VDN4	MA2204.1
Q9VAB8	MA2205.1
Q9W3Q5	MA2206.1
P19538	MA2207.1
Q9VID3	MA2208.1
P29747	MA2209.1
Q9VWW0	MA2210.1
P32027	MA2211.1
Q9VZN4	MA2212.1
P98149	MA2213.1
B6VQA1	MA2214.1
Q9W4S7	MA2215.1
Q9VST2	MA2216.1
Q26263	MA2217.1
Q9VML1	MA2218.1
Q01068	MA2219.1
Q01069	MA2220.1
Q01071	MA2221.1
Q01070	MA2222.1
P34021	MA2223.1
P13055	MA2224.1
Q9VQ56	MA2225.1
Q8WS79	MA2226.1
P25932	MA2227.1
P29774	MA2228.1
Q8MRW5	MA2229.1
Q04688	MA2230.1
P29775	MA2231.1
Q02361	MA2232.1
A0A0B4KFD8	MA2233.1
A0A0B4LH78	MA2234.1
Q02360	MA2235.1
Q95V55	MA2236.1
A0A0B4K6N2	MA2237.1
Q9VF00	MA2238.1
P09082	MA2239.1
Q7KM13	MA2240.1
M9PH26	MA2241.1
P49866	MA2242.1
P49869	MA2243.1
Q05192	MA2244.1
Q24142	MA2245.1
P18289	MA2246.1
Q9W0P9	MA2247.1
P21525	MA2248.1
O77459	MA2249.1
M9PF84	MA2250.1
P13054	MA2251.1
Q962I0	MA2252.1
Q8MR37	MA2253.1
Q9W349	MA2254.1
P91664	MA2255.1
Q9VMR2	MA2256.1
C3KGP2	MA2257.1
M9NGP0	MA2258.1
Q9W3F4	MA2259.1
A0A0B4JD55	MA2260.1
Q9VSZ3	MA2261.1
P51023	MA2262.1
P23757	MA2263.1
Q94527	MA2264.1
Q24573	MA2265.1
A0A0B4K653	MA2266.1
A0A0B4KFC4	MA2267.1
Q9VHG3	MA2268.1
P10084	MA2269.1
Q9VZK2	MA2270.1
Q9N658	MA2271.1
P32031	MA2272.1
Q59DN5	MA2273.1
P40656	MA2274.1
P40657	MA2275.1
M9PFG6	MA2276.1
M9PCG2	MA2277.1
M9PCZ7	MA2278.1
M9PJG1	MA2279.1
A0A0B4KHC8	MA2280.1
Q9VW37	MA2281.1
Q9VW37	MA2282.1
P52172	MA2283.1
E1JIM6	MA2284.1
Q7K0S9	MA2285.1
P16376	MA2286.1
M9PIH9	MA2287.1
Q7JS61	MA2288.1
Q9XZC2	MA2289.1
Q9W4J8	MA2290.1
Q9VMS4	MA2291.1
Q9VJP2	MA2292.1
Q5BI44	MA2293.1
Q8T9G5	MA2294.1
P10083	MA2295.1
Q01842	MA2296.1
Q9VZU5	MA2297.1
Q2MGN0	MA2298.1
Q9VDQ5	MA2299.1
Q9VHA4	MA2300.1
O61735	MA2301.1
Q8IRT6	MA2302.1
Q9V406	MA2303.1
